"query","metadata_filter","expected_sources","required_terms","forbidden_sources","forbidden_terms","expect_empty","expected_action","case_id","topic"
"现代风格的度假别墅怎么生成","{""doc_type"":""building_type""}","[]","[]","[]","[]","true","reject","policy_no_building_type_knowledge","知识用途隔离-建筑类型"
"默认窗的 geometry.components 参数有哪些","{""doc_type"":""component"",""entity_type"":""window""}","[""components/windows-supported.md""]","[""geometry.components"",""parentWall""]","[]","[]","false","answer","comp_window","构件-窗"
"默认门的 leafMaterial 和 frameWidth 参数","{""doc_type"":""component"",""entity_type"":""door""}","[""components/doors-supported.md""]","[""leafMaterial"",""frameWidth""]","[]","[]","false","answer","comp_door","构件-门"
"墙体 wall 的参数与组装约束","{""doc_type"":""component"",""entity_type"":""wall""}","[""components/walls.md""]","[""wall""]","[]","[]","false","answer","comp_wall","构件-墙"
"路径栏杆 postSpacing 与 railLevels 参数","{""doc_type"":""component"",""entity_type"":""railing""}","[""components/railings.md""]","[""postSpacing"",""railLevels""]","[]","[]","false","answer","comp_railing","构件-栏杆"
"屋顶 span 和 depth 覆盖墙体的规则","{""doc_type"":""component"",""entity_type"":""roof""}","[""components/roofs-and-eaves.md""]","[""span"",""depth""]","[]","[]","false","answer","comp_roof","构件-屋顶"
"玻璃幕墙怎么组装","{""doc_type"":""recipe""}","[""recipes/glass-curtain-wall-assembly.md""]","[""玻璃幕墙""]","[]","[]","false","answer","comp_curtain","构件-幕墙"
"门窗洞口 opening 与 parentWall 的从属关系","{""doc_type"":""recipe""}","[""recipes/supported-assembly-relations.md""]","[""opening"",""parentWall""]","[]","[]","false","answer","comp_opening","构件-洞口"
"组合构件 canopy 雨棚怎么生成","{""doc_type"":""component"",""entity_type"":""canopy""}","[""components/composite-components-second-batch.md""]","[""canopy"",""parentWall""]","[]","[]","false","answer","comp_canopy","构件-雨棚"
"凸窗 bay_window 和飘窗怎么生成","{""doc_type"":""component"",""entity_type"":""bay_window""}","[""components/composite-components-second-batch.md""]","[""bay_window"",""projectionDepth""]","[]","[]","false","answer","comp_bay_window","构件-凸窗"
"结构构件 structural components 有哪些","{""doc_type"":""component""}","[""components/structural-components.md""]","[""结构""]","[]","[]","false","answer","comp_structural","构件-结构"
"engine 当前不能写入 geometry.elements 的能力边界","{""doc_type"":""component""}","[""components/engine-capability-boundaries.md""]","[""geometry.elements"",""geometry.components""]","[]","[]","false","answer","boundary_engine","规格-能力边界"
"墙、门框、门扇和玻璃的材质引用关系","{""doc_type"":""recipe""}","[""recipes/material-role-relations.md""]","[""材质"",""引用""]","[]","[]","false","answer","material_roles","材质-角色与引用"
"透射玻璃与不透明框架的材质字段如何区分","{""doc_type"":""recipe""}","[""recipes/material-role-relations.md""]","[""materialClass"",""transmission""]","[]","[]","false","answer","material_glass","材质-物理玻璃"
"构件间允许的装配关系有哪些","{""doc_type"":""recipe""}","[""recipes/supported-assembly-relations.md""]","[""组合""]","[]","[]","false","answer","recipe_assembly","装配关系"
"楼层、墙体、屋顶的通用组装关系","{""doc_type"":""recipe""}","[""recipes/supported-assembly-relations.md""]","[""楼板"",""屋顶""]","[]","[]","false","answer","recipe_structural_relations","结构组装关系"
"明天北京会不会下雨","{}","[]","[]","[]","[]","false","reject","neg_weather","负样本-天气"
"帮我预测下周股票涨跌","{}","[]","[]","[]","[]","false","reject","neg_stock","负样本-金融"
"红烧肉怎么做才软烂","{}","[]","[]","[]","[]","false","reject","neg_recipe_food","负样本-烹饪"
"持续头痛应该吃什么药","{}","[]","[]","[]","[]","false","reject","neg_medical","负样本-医疗"
"劳动合同解除赔偿怎么算","{}","[]","[]","[]","[]","false","reject","neg_legal","负样本-法律"
"Python 装饰器的闭包原理是什么","{}","[]","[]","[]","[]","false","reject","neg_python","负样本-编程"
"Java 虚拟机垃圾回收器怎么选择","{}","[]","[]","[]","[]","false","reject","neg_java","负样本-编程"
"MySQL 如何优化慢查询索引","{}","[]","[]","[]","[]","false","reject","neg_database","负样本-数据库"
"唐朝开元年间发生了哪些大事","{}","[]","[]","[]","[]","false","reject","neg_history","负样本-历史"
"写一首描写春天的现代诗","{}","[]","[]","[]","[]","false","reject","neg_poem","负样本-文学"
"把这句话翻译成法语：今天很开心","{}","[]","[]","[]","[]","false","reject","neg_translation","负样本-翻译"
"规划一条七天日本旅游路线","{}","[]","[]","[]","[]","false","reject","neg_travel","负样本-旅行"
"推荐几部最近好看的科幻电影","{}","[]","[]","[]","[]","false","reject","neg_movie","负样本-影视"
"怎样练习钢琴即兴伴奏","{}","[]","[]","[]","[]","false","reject","neg_music","负样本-音乐"
"一个月减脂训练计划怎么安排","{}","[]","[]","[]","[]","false","reject","neg_fitness","负样本-健身"
"家用汽车机油多久更换一次","{}","[]","[]","[]","[]","false","reject","neg_car","负样本-汽车"
"手机电池续航突然下降怎么办","{}","[]","[]","[]","[]","false","reject","neg_phone","负样本-数码"
"这个游戏的新手阵容如何搭配","{}","[]","[]","[]","[]","false","reject","neg_game","负样本-游戏"
"企业现金流量表应该怎么编制","{}","[]","[]","[]","[]","false","reject","neg_accounting","负样本-财务"
"短视频账号如何制定营销计划","{}","[]","[]","[]","[]","false","reject","neg_marketing","负样本-营销"
"面试后怎么写候选人评估","{}","[]","[]","[]","[]","false","reject","neg_hr","负样本-人力资源"
"证明勾股定理有哪些方法","{}","[]","[]","[]","[]","false","reject","neg_math","负样本-数学"
"量子纠缠的基本概念是什么","{}","[]","[]","[]","[]","false","reject","neg_physics","负样本-物理"
"乙醇氧化反应的化学方程式","{}","[]","[]","[]","[]","false","reject","neg_chemistry","负样本-化学"
"细胞有丝分裂包含哪些阶段","{}","[]","[]","[]","[]","false","reject","neg_biology","负样本-生物"
"两岁孩子晚上不睡觉怎么办","{}","[]","[]","[]","[]","false","reject","neg_parenting","负样本-育儿"
"猫咪突然不吃猫粮是什么原因","{}","[]","[]","[]","[]","false","reject","neg_pet","负样本-宠物"
"多肉植物叶片发黄怎么处理","{}","[]","[]","[]","[]","false","reject","neg_gardening","负样本-园艺"
"国际海运提单有哪些类型","{}","[]","[]","[]","[]","false","reject","neg_logistics","负样本-物流"
"电商商品详情页怎么提高转化率","{}","[]","[]","[]","[]","false","reject","neg_ecommerce","负样本-电商"
"拖延行为背后的心理机制是什么","{}","[]","[]","[]","[]","false","reject","neg_psychology","负样本-心理"
"给我讲一个有趣的笑话","{}","[]","[]","[]","[]","false","reject","neg_general_chat","负样本-闲聊"
"高细节建筑与门窗屋顶策略","{""doc_scope"":""reference""}","[]","[]","[]","[]","true","reject","policy_no_reference_strategy","知识用途隔离-无消费者策略"
"幕墙确定性参数","{""entity_name"":""curtain_wall_deterministic_parameters""}","[]","[]","[]","[]","true","reject","policy_no_operational_parameters","知识用途隔离"
"办公楼的 WILD 构件关系","{}","[]","[]","[]","[""upper_setback"",""现代别墅的完整蓝图""]","false","answer","policy_office_no_villa","知识用途隔离"
